patset=
 {<[1 4 7 15 19 20 22 23 33 36]>
         <[1 2 4 7 16 20 26 31 33 35]>
         <[1 1 4 7 16 20 26 32 33 35]>
         <[1 4 7 13 16 20 22 26 32 33]>
         <[1 0 4 11 16 22 26 30 32 33]>
         <[1 0 11 17 19 20 22 23 27 33]>
         <[1 1 11 17 19 20 23 27 33 37]>
         <[1 3 11 17 19 20 23 31 33 37]>
         <[1 1 4 11 16 26 30 32 33 37]>
         <[1 2 4 11 16 26 30 31 33 37]>
         <[1 7 10 17 19 20 22 23 27 36]>
         <[1 2 4 10 16 25 26 30 31 37]>
         <[1 1 4 10 16 25 26 30 32 37]>
         <[1 0 4 10 16 22 25 26 30 32]>
         <[1 0 10 17 19 20 22 23 25 27]>
         <[1 3 10 17 19 20 23 25 31 37]>
         <[1 1 10 17 19 20 23 25 27 37]>}
;
